id,calendar_id,tenant_domain,market_id,title,format,target_keyword,demand_signal,funnel_stage,differentiation_angle,target_reader,target_persona_id,cta,channels,estimated_hours,status,ai_generated,content_asset_id,sort_order,created_at,updated_at,scheduled_at,campaign_id,solution_area_id,conference_id,summary,form_categories,fit_assessment,derived_from_brief_id
f618eeb0-960d-48f1-b47e-450892a3539e,18d7ab2b-2799-434a-8fac-5d29a462afd1,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,Training Is Not Transformation: How to Embed AI Into Daily Decision Rhythms — Webinar,webinar,AI adoption beyond training,Recurring buyer question about why AI training programs do not lead to adoption or business impact.,consideration,"Instead of celebrating literacy alone, Synozur emphasizes the shift from training to changed workflows, decision rights, and accountability rhythms.",Scaling Midmarket CEO,,Assess whether your AI effort is changing behavior or just increasing awareness.,,,drafted,t,291affe4-e7bb-45e3-9ce8-6e5a12a25a48,14,2026-06-12 15:04:23.196162,2026-06-12 15:10:48.353,2026-06-22 16:00:00,088ba691-0396-4682-bb9d-3911eb05c986,,,"This concept addresses the common failure mode where organizations stop at AI training and never change how work actually gets done. The idea translates well across forms because it can become practical guidance, a diagnostic, or a leadership discussion on embedding AI into workflows, governance, and operating cadence.",{digital_interactive},,96d31b27-e44f-4c59-869d-45ae4dd9e093
85673ce7-3182-4803-9482-5bfb3a0e9378,18d7ab2b-2799-434a-8fac-5d29a462afd1,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,Training Is Not Transformation: How to Embed AI Into Daily Decision Rhythms — LinkedIn post 2 of 2,linkedin_post,AI adoption beyond training,Recurring buyer question about why AI training programs do not lead to adoption or business impact.,consideration,"Instead of celebrating literacy alone, Synozur emphasizes the shift from training to changed workflows, decision rights, and accountability rhythms.",Scaling Midmarket CEO,,Assess whether your AI effort is changing behavior or just increasing awareness.,,,drafted,t,b5fe1427-e906-455b-a4c1-4cad610b723d,12,2026-06-12 15:04:23.196162,2026-06-12 20:20:36.78,2026-06-16 16:00:00,088ba691-0396-4682-bb9d-3911eb05c986,,,"This concept addresses the common failure mode where organizations stop at AI training and never change how work actually gets done. The idea translates well across forms because it can become practical guidance, a diagnostic, or a leadership discussion on embedding AI into workflows, governance, and operating cadence.",{short_form},,96d31b27-e44f-4c59-869d-45ae4dd9e093
de567aaf-e9c7-42b3-8453-7c851e610d0a,b62d7a5d-9f59-4e32-8511-cf83e2168d8c,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,From Pilot Graveyard to Production Rhythm,linkedin_post,AI pilot to production,"Recurring buyer question from CIOs and CEOs: 'We have pilots and training, but how do we make AI stick in operations?'",awareness,Most firms stop at strategy decks or tool deployment; Synozur emphasizes the operating rhythm that sustains adoption after the pilot.,Forward-Thinking Midmarket Retail CIO,,See the operating model required to move AI from pilot to production.,"{linkedin,twitter}",,suggested,t,,0,2026-06-12 21:41:15.172574,2026-06-12 21:41:15.172574,,6badecf3-3631-4538-b39e-7a80e6090f4c,,,"A concept built around the common stall point after AI workshops and pilots: nothing changes in day-to-day operations. It shows how structured AI Labs, governance, and decision cadences move organizations from isolated experiments into repeatable production outcomes, making it adaptable from a punchy executive post to a detailed roadmap asset.","{short_form,mid_form,long_form,digital_interactive}","{""topicFit"": ""strong"", ""voiceFit"": ""strong"", ""rationale"": ""It directly reflects the campaign theme of sustaining AI value and matches Synozur's calm, practical, human-centered voice."", ""recommendation"": ""keep""}",
2faa1785-4d71-424c-83ea-6cd50adb7ade,b62d7a5d-9f59-4e32-8511-cf83e2168d8c,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,The 30/60/90 AI Value Realization Map,landing_page,AI value realization framework,"Competitive gap: buyers want clearer accountability and measurable progress, and Synozur has a strategic recommendation to publish a 30/60/90 value realization framework.",consideration,Clarifies strategy-to-execution accountability without pretending to be a full-scale implementer.,PE Portfolio AI Value Architect,,Explore what measurable AI progress should look like in the first 90 days.,"{linkedin,twitter}",,suggested,t,,1,2026-06-12 21:41:15.172574,2026-06-12 21:41:15.172574,,6badecf3-3631-4538-b39e-7a80e6090f4c,,,"A concept that frames sustaining AI value through visible milestones in the first 30, 60, and 90 days after strategy work begins. It works across formats because it can be introduced as a simple checklist, expanded into a framework article, or turned into a workshop-style session for executives who need accountability without a full SI model.","{short_form,mid_form,long_form,digital_interactive}","{""topicFit"": ""strong"", ""voiceFit"": ""strong"", ""rationale"": ""This idea reinforces measurable outcomes and addresses a known GTM and credibility gap without overclaiming."", ""recommendation"": ""keep""}",
8f4df26f-2a20-47d0-8e6c-543a7632ea6a,b62d7a5d-9f59-4e32-8511-cf83e2168d8c,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,"AI Labs as a Standing Capability, Not a One-Time Workshop",blog_post,AI Labs operating model,Trend: organizations are shifting from one-off AI experimentation toward repeatable governance and scaled use-case pipelines.,awareness,"Synozur presents AI Labs as part of an AI-first operating model with human review and workflow integration, not an innovation theater exercise.",Scaling Midmarket CEO,,Learn what an AI Lab should actually do after the kickoff session ends.,{linkedin},,suggested,t,,2,2026-06-12 21:41:15.172574,2026-06-12 21:41:15.172574,,6badecf3-3631-4538-b39e-7a80e6090f4c,,,"This concept positions AI Labs as an ongoing business capability that continuously tests, validates, and scales use cases rather than a flashy innovation event. It can flex from executive social thought leadership to a long-form operating model explainer because the core message is durable and practical.","{short_form,mid_form,long_form,digital_interactive}","{""topicFit"": ""strong"", ""voiceFit"": ""strong"", ""rationale"": ""It is tightly tied to the campaign interview and conveys Synozur's operating-model focus clearly."", ""recommendation"": ""keep""}",
a938bc69-5dc8-4560-a4ba-561e92b69041,fd0fc29b-7a3e-4260-a333-1c9009bc3d9d,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,Stop Buying AI. Start Building Value.,blog_post,,,awareness,,,,,,,approved,f,,0,2026-07-03 00:47:26.486286,2026-07-03 00:47:26.486286,,c5dbd366-b09a-4b7e-a3c8-317516e7ab62,,,,,,
6845e098-9f1a-4275-9108-f4505c85dc99,a7d8eadf-b9a0-4e33-b236-6f689f8ee415,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,AI governance before scale: the 3 questions every PE operating leader should answer now,whitepaper,AI,"Recurring buyer concern from the Private Equity Technology and Investment Leader persona around governance, compliance, and measurable ROI; reinforced by the provided repurposing source citing that only 9% of private equity leaders are confident they could pass an AI governance audit in 90 days.",awareness,"Most AI governance content is policy-heavy or tool-centric. This piece frames governance as a practical speed enabler for PE-backed transformations, pairing human accountability with execution discipline instead of slowing programs down.",Chief Investment Officer at a private equity firm managing $1B+ AUM,,Request the one-page AI judgment standard and book an executive AI governance working session.,"{LinkedIn,""email newsletter"",""website resource library"",""executive outreach""}",10,removed,t,,0,2026-06-09 13:45:47.136641,2026-06-10 15:24:47.004,,,,,,,,
956f9f3b-6d6f-4753-bdc8-3a691a867906,b62d7a5d-9f59-4e32-8511-cf83e2168d8c,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,Beyond Training: Why AI Adoption Fails in the Workflow,newsletter,AI adoption in workflows,"Recurring buyer concern: teams receive AI training, but usage and business impact do not persist afterward.",awareness,"Instead of treating adoption as a training problem alone, Synozur frames it as an operating design problem spanning people, process, governance, and cadence.",Efficiency-Focused Midmarket Manufacturing Operations VP,,See how to turn AI training into workflow adoption that lasts.,"{linkedin,facebook}",,suggested,t,,3,2026-06-12 21:41:15.172574,2026-06-12 21:41:15.172574,,6badecf3-3631-4538-b39e-7a80e6090f4c,,,"A concept focused on the gap between educating teams about AI and embedding AI into real workflows, governance, and decisions. It works especially well because the theme can be expressed as a short opinionated post, a practical article, or a webinar discussion with examples of failure points and adoption guardrails.","{short_form,mid_form,digital_interactive}","{""topicFit"": ""strong"", ""voiceFit"": ""strong"", ""rationale"": ""The concept aligns with Synozur's human-centered message and squarely addresses sustaining value after initial enablement."", ""recommendation"": ""keep""}",
b6ec9c9f-2729-4a70-8648-67f8a06cdddf,b62d7a5d-9f59-4e32-8511-cf83e2168d8c,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,"New Revenue, Not Just Lower Costs: The AI Value Engineering Lens",whitepaper,AI revenue value engineering,Trend: executive AI conversations are moving beyond productivity toward new revenue streams and product innovation.,consideration,Synozur ties AI initiatives directly to market-facing revenue opportunities instead of limiting the discussion to internal automation.,Ambitious Microsoft-Aligned ISV Founder,,Discover where AI can create new revenue instead of just trimming costs.,"{linkedin,twitter}",,suggested,t,,4,2026-06-12 21:41:15.172574,2026-06-12 21:41:15.172574,,6badecf3-3631-4538-b39e-7a80e6090f4c,,,"This concept reframes AI from a cost-savings conversation to a revenue design conversation, showing how firms can identify, shape, and launch AI-powered offers and monetization models. It can scale well from a provocative social post to a whitepaper or executive session because it speaks to top-line growth, not just efficiency.","{short_form,mid_form,long_form,digital_interactive}","{""topicFit"": ""strong"", ""voiceFit"": ""strong"", ""rationale"": ""It directly mirrors the interview's revenue value engineering theme while staying outcome-oriented and executive-relevant."", ""recommendation"": ""keep""}",
6b608733-9532-4c4d-b135-0967463af40d,b62d7a5d-9f59-4e32-8511-cf83e2168d8c,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,What General AI Tools Cannot Do for Your Operating Model,blog_post,ChatGPT vs AI transformation consulting,Immediate competitive intelligence action item: buyers need explicit differentiation between Synozur's services and general-purpose AI tools.,consideration,"General AI tools generate outputs; Synozur designs the human-reviewed operating model, governance, and adoption system that produces durable business value.",Private Equity Technology and Investment Leader,,Compare what a tool can generate versus what an operating model must deliver.,"{linkedin,twitter}",,suggested,t,,5,2026-06-12 21:41:15.172574,2026-06-12 21:41:15.172574,,6badecf3-3631-4538-b39e-7a80e6090f4c,,,"A concept that answers the urgent market question of why an executive team needs transformation support when ChatGPT and similar tools are available. It can work as a concise comparison post, an FAQ-driven article, or a webinar because the core issue spans strategy, governance, workflow design, and change adoption.","{short_form,mid_form,digital_interactive}","{""topicFit"": ""moderate"", ""voiceFit"": ""strong"", ""rationale"": ""It is slightly more adjacent than core campaign themes but still supports sustaining AI value by clarifying what makes value durable."", ""recommendation"": ""keep""}",
dc023c1a-1133-45d6-9886-8ebced376954,ad297763-c582-4967-ab64-959afb2d28ec,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,What human-centered AI adoption actually looks like in the first 30/60/90 days,newsletter,AI value realization,"Strategic recommendation calls for launching a public 30/60/90 Value Realization framework; messaging pillar emphasizes AI-first, human-centered adoption with publishable guardrails and measurable outcomes.",consideration,"Shows how adoption, governance, and operating model changes progress in the first 90 days, proving Synozur is not pushing tools without behavior change.",VP of Operations at a 250-employee manufacturing company exploring practical AI use cases,,Reply to request the 30/60/90 value realization framework,"{email,linkedin}",6,suggested,t,,8,2026-06-25 20:27:47.897865,2026-06-25 20:27:47.897865,,a5e07503-68d3-4299-a7e8-4728521ba107,,,,,,
40311f71-d8ee-4208-bec0-fb7d25828ef7,69629022-e388-4ec0-9a52-bc698e9daa8d,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,What ChatGPT cannot do for your transformation strategy,whitepaper,strategy,Explicit urgent action item to develop client-facing differentiation against general-purpose AI tools like ChatGPT and Claude; strong market trend as buyers increasingly compare advisors to AI assistants.,consideration,"We define the limits of general AI in governance, change management, executive alignment, operating cadence design, and implementation accountability. The piece positions Synozur as the partner that turns AI-generated ideas into organization-specific execution reality.",Chief Operating Officer at a 300-employee traditional distribution company,,Download the comparison framework and schedule an executive briefing.,"{website,email,linkedin,sales_followup}",10,removed,t,,3,2026-06-09 13:51:56.960857,2026-06-10 15:24:47.004,,,,,,,,
