id,name,client_name,client_domain,description,status,tenant_domain,owner_user_id,created_at,updated_at,notify_on_updates,analysis_type,market_id
041f2d51-e314-43d8-a4d3-e07c5e0c1055,Orion,Synozur,orion.synozur.com,Find competitors and analyze our product,active,synozur.com,116500d0-357e-4ace-a7af-7264ed58e22a,2026-01-19 02:20:58.771335,2026-01-19 02:20:58.771335,t,product,137db123-4906-4e61-af99-f0d23d86a622
9452ed99-c911-4842-aa43-4d4a2f36f0bb,Nebula,Synozur,https://nebula.synozur.com,"Nebula is a multi-tenant collaborative envisioning platform that enables organizations to run structured ideation workshops with real-time participation. Facilitators guide cohorts through a configurable sequence of modules—including brainstorming, AI-powered categorization, pairwise voting, stack ranking, marketplace allocation, 2x2 priority matrices, staircase prioritization, and surveys—culminating in AI-generated personalized results for each participant. The platform supports both authenticated users and anonymous guests, offers Microsoft Entra ID SSO with per-tenant configuration, and provides comprehensive admin controls for organizations, workspaces, and user management.",active,synozur.com,116500d0-357e-4ace-a7af-7264ed58e22a,2026-01-22 22:18:55.087994,2026-01-22 22:18:55.087994,t,product,137db123-4906-4e61-af99-f0d23d86a622
98647de0-4773-4d77-b0e3-ac466ee4f464,Constellation,Synozur,https://scdp.synozur.com,"Constellation is a comprehensive multi-tenant SaaS platform designed to manage the entire lifecycle of consulting projects—from estimation and resource allocation through time tracking, expense management, and automated invoice generation. Built for consulting businesses, it combines AI-powered narrative generation, Microsoft 365 integrations (Azure AD SSO, SharePoint, Planner, Outlook), and robust financial reporting to streamline operations, ensure accurate billing, and provide real-time visibility into project health and profitability.",active,synozur.com,116500d0-357e-4ace-a7af-7264ed58e22a,2026-01-22 22:34:35.26082,2026-01-22 22:36:03.545,f,product,137db123-4906-4e61-af99-f0d23d86a622
aab5d992-7976-4cde-addc-5d689002757f,M-Files Workspaces,M-Files,,"M-Files Workspaces, redefining how organizations manage and understand their information in the age of AI. Built on M-Files’ unique context-first architecture, Workspaces is the business application and user experience layer that simplifies complexity and instantly brings together every related document, project, and stakeholder in a single view, delivering a smarter, faster way to work. Instead of simply storing documents, Workspaces takes a context-first approach — linking content to the people, projects, and processes that give it purpose. The result is a unified view of work that empowers employees, strengthens compliance, and improves performance.",active,synozur.com,116500d0-357e-4ace-a7af-7264ed58e22a,2026-01-23 16:14:41.22709,2026-01-23 16:18:04.172,f,product,17daaca7-2a15-4f92-bbf3-c9a401ef36ac
589319f6-dba6-410d-a2f9-813a5c5c0625,Themis IA,Helux,https://helux.ai/products-themis-ia,"Your solution to stress-free information architecture development
Many organizations today live with information architecture chaos – unable to dedicate months of time, energy and resources towards the necessary improvements.
THEMIS IA can help – fast.
With the ability to easily and efficiently update and maintain your information architecture - THEMIS IA is a perfect solution for a centralized IA that manages the structure and experience of your SharePoint Online.

THEMIS IA will help you to design, build and publish the building blocks required for SharePoint Online, all in one central location. Our code-free information architecture solution streamlines your information architecture development process - reducing your deployment time by 50% or more. We do this by automating the complex and time-intensive task of building and maintaining a robust information architecture.",active,synozur.com,116500d0-357e-4ace-a7af-7264ed58e22a,2026-01-23 20:26:19.560093,2026-01-23 20:26:19.560093,t,product,5428db01-79b3-4487-a2b2-0e63327f2510
5342247b-9209-4606-bdc6-00d1b1df73ac,Themis ICE,Helux,https://helux.ai/products-themis-ice,"THEMIS ICE is an intelligent migration product that assists organizations with discovering content; identifying redundant, obsolete, and transitory documents (ROT); auto-classifying documents using Microsoft Syntex; and enabling the intelligent migration of unstructured information into managed repositories such a SharePoint Online",active,synozur.com,116500d0-357e-4ace-a7af-7264ed58e22a,2026-01-23 01:42:53.168231,2026-01-23 20:28:41.883,f,product,5428db01-79b3-4487-a2b2-0e63327f2510
b9f413e5-7ab4-4155-903f-78a25aaabbd9,Vega,Synozur,https://vega.synozur.com,"Vega is an AI‑augmented Company Operating System that helps organizations align strategy with execution by connecting mission, values, OKRs, and priorities into a single, living system. It integrates with Microsoft 365 and Entra ID to power role‑based insights, focus rhythms, and board‑ready reporting grounded in real work. Vega turns strategy into daily clarity—using AI to surface what matters most, when it matters.",active,synozur.com,116500d0-357e-4ace-a7af-7264ed58e22a,2026-01-17 15:09:53.812847,2026-01-24 14:28:11.009,f,product,137db123-4906-4e61-af99-f0d23d86a622
c84a4cfe-a82f-4fb6-b0a5-0d9f0304cafb,SharePoint,Microsoft,https://www.microsoft.com/en-us/microsoft-365/sharepoint/collaboration,"Microsoft SharePoint is Microsoft’s enterprise content and collaboration platform that helps organizations securely store, organize, share, and manage information through websites, document libraries, lists, and intranet experiences, all tightly integrated with Microsoft 365 apps like Teams, OneDrive, Outlook, and Copilot. It is used to power team collaboration spaces, company intranets, knowledge management, and workflow-driven business processes, enabling people to find information quickly, co‑author content in real time, and apply governance, security, and compliance controls at scale across the organization.",active,synozur.com,116500d0-357e-4ace-a7af-7264ed58e22a,2026-01-27 04:50:54.14579,2026-01-27 04:50:54.14579,t,product,5d149a37-4d48-4ada-994a-eff6cc41c995
bc03ec9f-fe7e-4626-9b35-753a42215918,M365 Copilot,Microsoft,https://www.microsoft.com/en-us/microsoft-365-copilot,,active,synozur.com,116500d0-357e-4ace-a7af-7264ed58e22a,2026-01-29 04:12:18.751803,2026-01-29 04:12:18.751803,t,product,5d149a37-4d48-4ada-994a-eff6cc41c995
2617e94f-3dc9-41f6-b902-f059d4ecd4ab,Atlas,ClearPeople,clearpeople.com,,active,synozur.com,116500d0-357e-4ace-a7af-7264ed58e22a,2026-01-30 09:16:52.683341,2026-01-30 09:16:52.683341,t,product,0ac8db60-16c4-4665-a8f3-e4655a5a29b5
